id,name,product,SVN,SVNU,SVD,SVDU,category,CD
,Betamox 40 mg Palatable Tablets,Amoxicillin Tablets,40,mg,,,POM-V,N
,Betamox 200 mg Palatable Tablets,Amoxicillin Tablets,200,mg,,,POM-V,N
,Amoxycare 40 mg Tablets,Amoxicillin Tablets,40,mg,,,POM-V,N
,Amoxycare 200 mg Tablets,Amoxicillin Tablets,200,mg,,,POM-V,N
,Duphamox LA 150 mg/ml Suspension for Injection,Amoxicillin LA Suspension for Injection,150,mg,1,ml,POM-V,N
,Combimox Injection Suspension for Injection,Amoxicillin & Clavulanic Acid Suspension for Injection,,,,,POM-V,N
,Noroclav 50 mg Chewable Flavoured Tablets for Cats and Dogs,Amoxicillin & Clavulanic Acid Tablets,50,mg,,,POM-V,N
,Noroclav 250 mg Chewable Flavoured Tablets for Cats and Dogs,Amoxicillin & Clavulanic Acid Tablets,250,mg,,,POM-V,N
,Noroclav 500 mg Chewable Flavoured Tablets for Dogs ,Amoxicillin & Clavulanic Acid Tablets,500,mg,,,POM-V,N
,Noroclav 75 mg Chewable Flavoured Tablets for Cats and Dogs,Amoxicillin & Clavulanic Acid Tablets,75,mg,,,POM-V,N
,Twinox 40 mg/10 mg Tablets for Cats and Dogs,Amoxicillin & Clavulanic Acid Tablets,50,mg,,,POM-V,N
,Twinox 200 mg/50 mg Tablets for Dogs,Amoxicillin & Clavulanic Acid Tablets,250,mg,,,POM-V,N
,Twinox 400 mg/100 mg Tablets for Dogs ,Amoxicillin & Clavulanic Acid Tablets,500,mg,,,POM-V,N
,Norobrittin 15% w/v Suspension for Injection,Ampicillin Suspension for Injection,150,mg,1,ml,POM-V,N
,Norocillin LA Suspension for Injection ,"Penicillin G, Procaine Benzylpenicillin LA Suspension for Injection",,,,,POM-V,N
,Cefaseptin 120 mg Film-coated Tablets,Cefalexin Tablets,120,mg,,,POM-V,N
,Cefaseptin 600 mg Film-coated Tablets for Dogs,Cefalexin Tablets,600,mg,,,POM-V,N
,Veterinary Wound Powder - 2% w/w Cutaneous Powder,Chloramine T Cutaneous Powder,,,,,AVM-GSL,N
,Clindacyl 75 mg Tablets,Clindamycin Tablets,75,mg,,,POM-V,N
,Clindacyl 150 mg Tablets,Clindamycin Tablets,150,mg,,,POM-V,N
,Clindacyl 25 mg Tablets,Clindamycin Tablets,25,mg,,,POM-V,N
,Clindacyl 300 mg Tablets,Clindamycin Tablets,300,mg,,,POM-V,N
,"NorOtic Ear Drops, Suspension for Dogs","Marbofloxacin, Dexamethasone, Clotrimazole Topical Suspension",,,,,POM-V,N
,Devomycin D Solution for Injection,"Dihydrostreptomycin, Streptomycin Solution for Injection",,,,,POM-V,N
,Baytril Flavour 25 mg/ml Oral Suspension for Cat,Enrofloxacin Liquid,25,mg,1,ml,POM-V,N
,Zobuxa 15 mg Tablets for Cats and Small Dogs,Enrofloxacin Tablets,15,mg,,,POM-V,N
,Zobuxa 50 mg Tablets for Cats and Dogs,Enrofloxacin Tablets,50,mg,,,POM-V,N
,Zobuxa 100 mg Tablets for Dogs,Enrofloxacin Tablets,100,mg,,,POM-V,N
,Zobuxa 150 mg Tablets for Dogs,Enrofloxacin Tablets,150,mg,,,POM-V,N
,"Powerflox 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",Enrofloxacin Liquid,50,mg,1,ml,POM-V,N
,"Clinagel-Vet, Gentamicin 0.30% w/w Eye Gel",Gentamicin Gel,,,,,POM-V,N
